2025-02-01 02:06:07,175 - INFO - Epoch 0, Step 137, Loss: 7.946906, Best Loss: 7.624884
2025-02-01 02:06:15,184 - INFO - Epoch 0, Step 138, Loss: 7.710865, Best Loss: 7.624884
2025-02-01 02:06:23,194 - INFO - Epoch 0, Step 139, Loss: 7.837388, Best Loss: 7.624884
2025-02-01 02:06:31,210 - INFO - Epoch 0, Step 140, Loss: 7.693111, Best Loss: 7.624884
2025-02-01 02:06:39,217 - INFO - Epoch 0, Step 141, Loss: 8.030486, Best Loss: 7.624884
2025-02-01 02:06:47,226 - INFO - Epoch 0, Step 142, Loss: 7.812611, Best Loss: 7.624884
2025-02-01 02:06:55,270 - INFO - Epoch 0, Step 143, Loss: 7.827843, Best Loss: 7.624884
2025-02-01 02:07:03,273 - INFO - Epoch 0, Step 144, Loss: 7.656412, Best Loss: 7.624884
2025-02-01 02:07:11,282 - INFO - Epoch 0, Step 145, Loss: 7.811522, Best Loss: 7.624884
2025-02-01 02:07:19,297 - INFO - Epoch 0, Step 146, Loss: 7.697678, Best Loss: 7.624884
2025-02-01 02:07:27,309 - INFO - Epoch 0, Step 147, Loss: 8.037054, Best Loss: 7.624884
2025-02-01 02:07:35,319 - INFO - Epoch 0, Step 148, Loss: 8.028673, Best Loss: 7.624884
2025-02-01 02:07:43,333 - INFO - Epoch 0, Step 149, Loss: 7.643647, Best Loss: 7.624884
2025-02-01 02:07:51,349 - INFO - Epoch 0, Step 150, Loss: 7.872193, Best Loss: 7.624884
2025-02-01 02:07:59,392 - INFO - Epoch 0, Step 151, Loss: 7.773966, Best Loss: 7.624884
2025-02-01 02:08:12,173 - INFO - Epoch 0, Step 152, Loss: 7.558552, Best Loss: 7.558552
2025-02-01 02:08:20,200 - INFO - Epoch 0, Step 153, Loss: 7.935878, Best Loss: 7.558552
2025-02-01 02:08:28,218 - INFO - Epoch 0, Step 154, Loss: 7.636032, Best Loss: 7.558552
2025-02-01 02:08:36,225 - INFO - Epoch 0, Step 155, Loss: 7.680266, Best Loss: 7.558552
2025-02-01 02:08:44,229 - INFO - Epoch 0, Step 156, Loss: 8.039937, Best Loss: 7.558552
2025-02-01 02:08:52,245 - INFO - Epoch 0, Step 157, Loss: 7.785090, Best Loss: 7.558552
2025-02-01 02:09:00,257 - INFO - Epoch 0, Step 158, Loss: 7.830589, Best Loss: 7.558552
2025-02-01 02:09:08,300 - INFO - Epoch 0, Step 159, Loss: 7.708302, Best Loss: 7.558552
2025-02-01 02:09:16,302 - INFO - Epoch 0, Step 160, Loss: 7.751485, Best Loss: 7.558552
2025-02-01 02:09:24,318 - INFO - Epoch 0, Step 161, Loss: 7.818242, Best Loss: 7.558552
2025-02-01 02:09:32,330 - INFO - Epoch 0, Step 162, Loss: 7.606995, Best Loss: 7.558552
2025-02-01 02:09:40,351 - INFO - Epoch 0, Step 163, Loss: 7.743608, Best Loss: 7.558552
2025-02-01 02:09:48,367 - INFO - Epoch 0, Step 164, Loss: 7.748422, Best Loss: 7.558552
2025-02-01 02:09:56,383 - INFO - Epoch 0, Step 165, Loss: 7.689416, Best Loss: 7.558552
2025-02-01 02:10:04,396 - INFO - Epoch 0, Step 166, Loss: 7.882263, Best Loss: 7.558552
2025-02-01 02:10:12,434 - INFO - Epoch 0, Step 167, Loss: 7.912962, Best Loss: 7.558552
2025-02-01 02:10:20,437 - INFO - Epoch 0, Step 168, Loss: 7.971946, Best Loss: 7.558552
2025-02-01 02:10:33,034 - INFO - Epoch 0, Step 169, Loss: 7.501000, Best Loss: 7.501000
2025-02-01 02:10:41,061 - INFO - Epoch 0, Step 170, Loss: 7.815952, Best Loss: 7.501000
2025-02-01 02:10:49,076 - INFO - Epoch 0, Step 171, Loss: 7.778224, Best Loss: 7.501000
2025-02-01 02:10:57,083 - INFO - Epoch 0, Step 172, Loss: 8.151853, Best Loss: 7.501000
2025-02-01 02:11:05,094 - INFO - Epoch 0, Step 173, Loss: 7.875609, Best Loss: 7.501000
2025-02-01 02:11:13,105 - INFO - Epoch 0, Step 174, Loss: 7.828666, Best Loss: 7.501000
2025-02-01 02:11:21,146 - INFO - Epoch 0, Step 175, Loss: 7.831053, Best Loss: 7.501000
